question,answer,question_vi,answer_vi
"After a Venus Flytrap catches an insect, how does it digest and absorb the prey?",The inner flaps of the leaves secrete a digestive fluid,"Sau khi Venus Flytrap bắt côn trùng, nó tiêu hóa và hấp thụ con mồi như thế nào?",Mặt trong của lá tiết ra dịch tiêu hóa
"After its foundation in the 6th century BCE, which institution of the Roman Republic served as a consultative parliament?",The Senate,"Sau khi thành lập vào thế kỷ thứ 6 trước Công nguyên, cơ quan nào của Cộng hòa La Mã đóng vai trò là quốc hội tư vấn?",Thượng viện
"After the Lost Kingdom opens, what item do you have to spend to teleport to and from the Lost Kingdom?",Random Teleport,"Sau khi Lost Kingdom mở ra, bạn phải bỏ ra vật phẩm gì để dịch chuyển đến và đi từ Lost Kingdom?",Dịch chuyển ngẫu nhiên
"After the students at the Lyceum of Wisdom finish their lessons, what building in your city do they return to?",Academy,"Sau khi các học sinh tại Lyceum of Wisdom kết thúc bài học, họ sẽ quay trở lại tòa nhà nào trong thành phố của bạn?",Học viện
Afterglow is caused by:,Light scattering in air,Ánh sáng rực rỡ được gây ra bởi:,Sự tán xạ ánh sáng trong không khí
Alliance help can NOT speed up which of the following activities?,Troop training,Sự giúp đỡ của liên minh KHÔNG thể đẩy nhanh hoạt động nào sau đây?,Huấn luyện quân đội
Amethyst is valued for its brilliant violet hue. What mineral is it a variety of?,Quartz,Thạch anh tím được đánh giá cao vì màu tím rực rỡ của nó.Nó có nhiều loại khoáng chất gì?,Thạch anh
"Apart from “Number of Scouts"" and “Power"", which of the following Scout Camp parameters can also be upgraded?",Scout March Speed and Exploration Range,"Ngoài ""Số lượng Hướng đạo sinh"" và ""Sức mạnh"", thông số nào sau đây của Trại Hướng đạo cũng có thể được nâng cấp?",Phạm vi thám hiểm và tốc độ trinh sát tháng ba
"Apart from “Times You Can Be Helped"" and “Power"", which of the following Alliance Center parameters can also be upgraded?",Reinforcement Troop Capacity,"Ngoài “Số lần bạn có thể được giúp đỡ"" và “Sức mạnh”, thông số nào sau đây của Alliance Center cũng có thể được nâng cấp?",Năng lực quân tăng cường
"As of the 2018 World Cup, how many times has Shakira performed at the World Cup closing ceremony?",3.0,"Tính đến World Cup 2018, Shakira đã biểu diễn bao nhiêu lần ở lễ bế mạc World Cup?",3.0
"As of the 2018 World Cup, how many World Cups has Brazil won?",5.0,"Tính đến World Cup 2018, Brazil đã vô địch bao nhiêu World Cup?",5.0
"As of the 2018 World Cup, what is the United State’s best ever World Cup result?",Third place,"Tính đến World Cup 2018, kết quả World Cup tốt nhất từ ​​trước đến nay của Hoa Kỳ là gì?",Vị trí thứ ba
"As of the 2018 World Cup, which player holds the record for most goals scored in a single World Cup match with five goals?",Oleg Salenko,"Tính đến World Cup 2018, cầu thủ nào giữ kỷ lục ghi nhiều bàn thắng nhất trong một trận đấu ở World Cup với 5 bàn thắng?",Oleg Salenko
"As of the 2018 World Cup, who holds the record for most goals scored in the World Cup?",Miroslav Klose,"Tính đến World Cup 2018, ai là người giữ kỷ lục ghi nhiều bàn thắng nhất ở World Cup?",Miroslav Klose
"As of the 2018 World Cup, who holds the World Cup record for fastest goal scored at 11 seconds?",Hakan Şükür,"Tính đến World Cup 2018, ai giữ kỷ lục World Cup về bàn thắng nhanh nhất ghi được sau 11 giây?",Hakan Şükür
"As of the 2022 World Cup, how many countries have won the World Cup?",8.0,"Tính đến World Cup 2022, có bao nhiêu quốc gia đã vô địch World Cup?","8,0"
"As of the 21st World Cup, who is the only player to have scored a hat-trick in 2 different World Cups?",Gabriel Batistuta,"Tính đến World Cup lần thứ 21, ai là cầu thủ duy nhất lập hat-trick ở 2 kỳ World Cup khác nhau?",Gabriel Batistuta
Ashoka the Great was the King of which Ancient Indian kingdom?,Maurya,Ashoka Đại đế là vua của vương quốc Ấn Độ cổ đại nào?,Maurya
"Assuming the absence of any other special buffs, which of these commanders has the highest march speed?",Belisarius,"Giả sử không có buff đặc biệt nào khác, chỉ huy nào trong số này có tốc độ hành quân cao nhất?",Belisarius
At what level does the Trading Posts transport tax rate become 10%?,24.0,Thuế vận chuyển của Bưu điện Thương mại trở thành 10% ở mức nào?,24.0
At what VIP level can you purchase a VIP Special chest that contains enough Hannibal Barca sculptures to awaken him?,14.0,Ở cấp VIP nào bạn có thể mua rương VIP Đặc biệt chứa đủ tác phẩm điêu khắc Hannibal Barca để đánh thức anh ta?,14.0
At which VIP level do you permanently unlock a second building queue?,Lvl. 6,Ở cấp độ VIP nào bạn có thể mở khóa vĩnh viễn hàng đợi tòa nhà thứ hai?,Cấp độ.6
Bhutan is also known as the Land of the Thunder Dragon. What is its capital and largest city?,Thimphu,Bhutan còn được mệnh danh là Vùng đất của Rồng Sấm.Thủ đô và thành phố lớn nhất của nó là gì?,Thimphu
Big Ben is located in which of the following countries?,United Kingdom,Big Ben nằm ở quốc gia nào sau đây?,Vương quốc Anh
Black Forest Cake is a famous European dessert. In which country is the Black Forest from which it takes its name?,Germany,Bánh Rừng Đen là món tráng miệng nổi tiếng của Châu Âu.Rừng Đen được lấy tên từ quốc gia nào?,nước Đức
Bossa nova is a popular genre of music originating from which country?,Brazil,Bossa nova là thể loại nhạc phổ biến có nguồn gốc từ quốc gia nào?,Brazil
Broccoli is rich in which vitamin?,Vitamin C,Bông cải xanh giàu vitamin nào?,Vitamin C
By what other name are Ceroli Chieftains Ak & Hok also known by?,The Astral Twins,Thủ lĩnh Ceroli Ak & Hok còn được biết đến với cái tên nào khác?,Cặp song sinh Astral
By what other name is October also known under Japan’s old calendar?,Kannazuki,Tháng 10 còn được biết đến với cái tên nào khác theo lịch cũ của Nhật Bản?,Kannazuki
By what other name is the Ceroli Chieftain Wafura also known?,Wolfshadow,Thủ lĩnh Ceroli Wafura còn được biết đến với cái tên nào khác?,bóng sói
Cactus spines are actually a modified form of which other part of the plant?,Leaves,Gai xương rồng thực chất là một dạng biến đổi của bộ phận nào khác của cây?,Lá
Champagne is a region in which country?,France,Champagne là vùng của nước nào?,Pháp
Charles Macintosh crafted a very early version of a raincoat from which material?,Rubber,Charles Macintosh đã chế tạo ra phiên bản đầu tiên của áo mưa từ chất liệu nào?,Cao su
"China’s “crosstalk"" sketch comedy format originates in three places: Tianqiao in Beijing, the Quanye Bazaar in Tianjin, and where in Nanjing?",Fuzimiao,"Định dạng hài kịch phác thảo “xuyên âm” của Trung Quốc bắt nguồn từ ba địa điểm: Tianqiao ở Bắc Kinh, Chợ Quanye ở Thiên Tân và ở đâu ở Nam Kinh?",Fuzimiao
Combat Tactics is an important Military Technology – what effect does it have?,Increases Attack of all units,Chiến thuật tác chiến là một Công nghệ quân sự quan trọng – nó có tác dụng gì?,Tăng sức tấn công của tất cả các đơn vị
"Commander Björn Ironside’s “Viking Lord"" skill benefits which of the following unit types?",Infantry,Kỹ năng “Chúa tể Viking” của Chỉ huy Björn Ironside mang lại lợi ích cho loại đơn vị nào sau đây?,bộ binh
Darwin’s last book primarily discussed which species’ influence on soil?,Earthworms,Cuốn sách cuối cùng của Darwin chủ yếu thảo luận về ảnh hưởng của loài nào đến đất?,Giun đất
"Diego Velázquez, the painter of the realist work Portrait of Pope Innocent X, was from which country?",Spain,"Diego Velázquez, họa sĩ của tác phẩm hiện thực Chân dung Giáo hoàng Innocent X, đến từ nước nào?",Tây Ban Nha
"During a solar eclipse, the celestial object that comes between the Sun and the Earth is:",The Moon,"Khi xảy ra nhật thực, thiên thể nằm giữa Mặt trời và Trái đất là:",Mặt Trăng
"During China’s Warring States Period, which state defeated the other six and built the unified Chinese empire?",Qin,"Trong thời Chiến Quốc của Trung Quốc, nước nào đã đánh bại sáu nước còn lại và xây dựng nên đế chế Trung Hoa thống nhất?",Tần
"During nuclear fusion, which of the following elements produces less energy than it absorbs?",Iron,"Trong quá trình tổng hợp hạt nhân, nguyên tố nào sau đây tạo ra ít năng lượng hơn mức hấp thụ?",Sắt
"During the Renaissance, why was Florence significant?",Birthplace and symbol of the Renaissance,"Trong thời Phục hưng, tại sao Florence lại có ý nghĩa quan trọng?",Nơi sinh và biểu tượng của thời Phục hưng
"During the Second Punic War, in which battle did a vastly outnumbered Hannibal defeat a Roman army?",The Battle of Cannae,"Trong Chiến tranh Punic lần thứ hai, trong trận chiến nào Hannibal đông hơn rất nhiều đã đánh bại quân đội La Mã?",Trận chiến Cannae
"During the Trojan War, which Greek warrior killed Hector?",Achilles,"Trong cuộc chiến thành Troy, chiến binh Hy Lạp nào đã giết Hector?",Achilles
"During the Upper and Lower Egypt period, what color was the crown of the pharaoh of Upper Egypt?",White,"Trong thời kỳ Thượng và Hạ Ai Cập, vương miện của pharaoh Thượng Ai Cập có màu gì?",trắng
During which emperor’s reign was the Roman Colosseum completed?,Titus,Đấu trường La Mã được hoàn thành vào triều đại của hoàng đế nào?,Tít
During which season are nights relatively short and days relatively long?,Summer,Trong mùa nào đêm tương đối ngắn và ngày tương đối dài?,Mùa hè
"Edward VIII became King of England in January 1936. Later in the same year, in which month did he give up the throne?",December,"Edward VIII trở thành Vua nước Anh vào tháng 1 năm 1936. Cuối năm đó, ông từ bỏ ngai vàng vào tháng nào?",tháng mười hai
Egypt’s economy was primarily based on what?,Agriculture,Nền kinh tế Ai Cập chủ yếu dựa vào cái gì?,Nông nghiệp
Egyptians made paper from which material?,Papyrus,Người Ai Cập làm giấy từ chất liệu nào?,giấy cói
Elbe Day was the meeting of which two armies during World War II?,"USA, USSR",Ngày Elbe là cuộc gặp gỡ của hai đội quân nào trong Thế chiến thứ hai?,"Mỹ, Liên Xô"
Equipment with special talent bonuses will have their attributes enhanced by what percentage when equipped to a commander with the corresponding talent?,30%,Trang bị có phần thưởng tài năng đặc biệt sẽ được tăng cường thuộc tính bao nhiêu phần trăm khi trang bị cho người chỉ huy có tài năng tương ứng?,30%
Feijoada is considered a national dish of which country?,Brazil,Feijoada được coi là món ăn quốc gia của nước nào?,Brazil
"First created in Ancient Greece, to which profession does the Hippocratic Oath apply?",Doctors,"Lần đầu tiên được tạo ra ở Hy Lạp cổ đại, Lời thề Hippocrates áp dụng cho nghề nghiệp nào?",bác sĩ
Fish and chips has its earliest origins in which country?,England,Cá và khoai tây chiên có nguồn gốc sớm nhất ở quốc gia nào?,nước Anh
Focaccia is a type of pizza-like bread. Which country (and its cooking culture) created the focaccia?,Italy,Focaccia là một loại bánh mì giống pizza.Quốc gia nào (và văn hóa nấu ăn của quốc gia đó) đã tạo ra món focaccia?,Ý
Foie gras is a very nutrient-rich food. Which country produces the most foie gras?,France,Gan ngỗng là một loại thực phẩm rất giàu chất dinh dưỡng.Quốc gia nào sản xuất nhiều gan ngỗng nhất?,Pháp
"For every 1 unit you train in your city, how many expedition units do you get in Expedition mode?",1.0,"Với mỗi 1 đơn vị bạn huấn luyện trong thành phố của mình, bạn nhận được bao nhiêu đơn vị viễn chinh trong chế độ Viễn chinh?",1.0
For how many francs did Charles V ransom Bertrand du Guesclin during the conflict over Brittany?,100000.0,Charles V đã chuộc Bertrand du Guesclin với bao nhiêu franc trong cuộc xung đột ở Brittany?,100000.0
"For which disease did Edward Jenner, known as the father of immunology, develop a vaccine?",Smallpox,"Edward Jenner, cha đẻ của ngành miễn dịch học, đã phát triển vắc-xin cho căn bệnh nào?",bệnh đậu mùa
France and Germany were both once part of what feudal Kingdom?,Francia,Pháp và Đức đều từng là một phần của Vương quốc phong kiến ​​nào?,Pháp
French National Day is on July 14 in order to coincide with which historical event?,Storming of the Bastille,Ngày Quốc khánh Pháp 14/7 trùng với sự kiện lịch sử nào?,Tấn công Bastille
"From the 17th to 19th centuries, the Kingdom of Prussia was mostly in which modern country?",Germany,"Từ thế kỷ 17 đến thế kỷ 19, Vương quốc Phổ chủ yếu nằm ở quốc gia nào hiện nay?",nước Đức
"From the 8th to the 11th century CE, what did Europeans frequently call the Scandinavian invaders who frequently ravaged their lands?",Vikings,"Từ thế kỷ 8 đến thế kỷ 11 CN, người châu Âu thường gọi những kẻ xâm lược Scandinavia thường xuyên tàn phá vùng đất của họ là gì?",người Viking
Galileo’s Leaning Tower of Pisa experiment overturned a theory of which Ancient Greek scientist?,Aristotle,Thí nghiệm Tháp nghiêng Pisa của Galileo đã lật đổ lý thuyết của nhà khoa học Hy Lạp cổ đại nào?,Aristote
Global warming will NOT lead to:,A drop in sea levels,Sự nóng lên toàn cầu sẽ KHÔNG dẫn đến:,Mực nước biển giảm
Governors cannot earn Activity Points through which of the following?,Expeditions,Thống đốc không thể kiếm được Điểm hoạt động thông qua cách nào sau đây?,cuộc thám hiểm
Halley’s Comet can be observed from Earth every…,75-76 years,Sao chổi Halley có thể được quan sát từ Trái đất mỗi…,75-76 tuổi
"Held in 1929, how long did the first Academy Awards (“Oscars"") ceremony take?",15 minutes,"Được tổ chức vào năm 1929, lễ trao giải Oscar (“Giải Oscar”) đầu tiên kéo dài bao lâu?",15 phút
Hieroglyphs were part of which country’s formal writing system?,Ancient Egypt,Chữ tượng hình là một phần của hệ thống chữ viết chính thức của quốc gia nào?,Ai Cập cổ đại
"Homer’s epic “The Iliad"" focuses on events happening during which war or battle?",The Trojan War,Sử thi “The Iliad” của Homer tập trung vào những sự kiện xảy ra trong cuộc chiến tranh hay trận chiến nào?,Cuộc chiến thành Troy
How do you get Alliance Technology Credits?,By donating to research Alliance Technology,Làm thế nào để bạn nhận được Tín dụng Công nghệ Liên minh?,Bằng cách quyên góp cho nghiên cứu của Alliance Technology
How do you get Alliance Technology Points?,By donating to research Alliance Technology,Làm thế nào để bạn nhận được Điểm Công nghệ Liên minh?,Bằng cách quyên góp cho nghiên cứu của Alliance Technology
How do you obtain the Friend of the Kingdom achievement?,Visit 100 tribal villages,Làm thế nào để bạn có được thành tích Người bạn của Vương quốc?,Thăm 100 làng dân tộc
How high in the Sunset Canyon daily ranking do you need to place before you can receive the Golden Key Daily Rewards?,In the top 5,Bạn cần đạt thứ hạng hàng ngày của Sunset Canyon ở mức nào trước khi có thể nhận Phần thưởng Chìa khóa Vàng hàng ngày?,Trong top 5
How long did the Hundred Years’ War between England and France last?,116 years,Chiến tranh Trăm Năm giữa Anh và Pháp kéo dài bao lâu?,116 năm
"How long does the “Basic Army Expansion"" boost last?",4h,"Thời gian tăng cường ""Mở rộng quân đội cơ bản"" kéo dài bao lâu?",4 giờ
How long does the rune dropped by defeating the Guardians remain on the map?,8 hours,Rune rơi ra khi đánh bại những người bảo vệ vẫn tồn tại trên bản đồ trong bao lâu?,8 giờ
"How many “Golden Kingdom Equipment Troves"" are contained within the Golden Chest earned from stage 16 of the “Golden Kingdom"" event?",3.0,"Có bao nhiêu ""Tủ trang bị Vương quốc Vàng"" được chứa trong Rương Vàng kiếm được từ màn 16 của sự kiện ""Vương quốc Vàng""?",3.0
How many arrows are stuck in the shield of commander Lohar?,4.0,Có bao nhiêu mũi tên cắm vào khiên của chỉ huy Lohar?,4.0
How many beasts can you expect to see fighting alongside Lvl 20 barbarian troops in Rise of Kingdoms,1 bear and 2 wolves,Bạn có thể mong đợi bao nhiêu quái thú chiến đấu bên cạnh đội quân man rợ cấp 20 trong Rise of Kingdoms,1 con gấu và 2 con sói
How many bones does an adult human normally have?,206.0,Một người trưởng thành thường có bao nhiêu xương?,206.0
How many bowmen are shown practising in the Archery Range when training composite bowmen?,3.0,Có bao nhiêu cung thủ được thể hiện đang luyện tập trong Trường bắn cung khi huấn luyện cung thủ tổng hợp?,3.0
How many cards in total are shown in the Mysterious Merchant’s hands?,5.0,Tổng cộng có bao nhiêu lá bài được hiển thị trên tay Người lái buôn bí ẩn?,5.0
"How many daily Activity Points do you need in “Lucerne Scrolls"" to claim the Daily Gift clue reward?",50.0,"Bạn cần bao nhiêu Điểm hoạt động hàng ngày trong “Lucerne Scrolls"" để nhận phần thưởng manh mối Quà tặng hàng ngày?","50,0"
How many days are in a leap year?,366 days,Năm nhuận có bao nhiêu ngày?,366 ngày
How many dispatches do you need to complete at the State Forum to open a Dispatch Commendation?,15.0,Bạn cần hoàn thành bao nhiêu công văn tại Diễn đàn Nhà nước để mở Khen thưởng Công văn?,"15,0"
How many Easter eggs are featured in the Easter Egg Avatar Frame?,5.0,Có bao nhiêu quả trứng Phục sinh được giới thiệu trong Khung Avatar Trứng Phục sinh?,5.0
How many emeralds are featured on the clothing of commander Matilda of Flanders?,5.0,Có bao nhiêu viên ngọc lục bảo được đính trên trang phục của chỉ huy Matilda xứ Flanders?,5.0
How many flags are featured in front of the Alliance Center for the French civilization?,6.0,Có bao nhiêu lá cờ được treo trước Trung tâm Liên minh văn minh Pháp?,6.0
"How many gears are shown on the icon for the Economic Technology “Engineering""?",2.0,Có bao nhiêu bánh răng được hiển thị trên biểu tượng cho ngành “Kỹ thuật” kinh tế?,2.0
How many goals does a player need to score to earn a hat-trick?,3.0,Một cầu thủ cần ghi bao nhiêu bàn để lập hat-trick?,3.0
How many Golden Keys are awarded to the top finishing Governor in each season of Sunset Canyon?,5.0,Có bao nhiêu Chìa khóa Vàng được trao cho Thống đốc về đích cao nhất trong mỗi mùa của Sunset Canyon?,5.0
How many hurricanes were recorded around the Pacific Ocean in the year 1977?,4.0,Có bao nhiêu cơn bão được ghi nhận quanh Thái Bình Dương vào năm 1977?,4.0
How many individual credits can be earned from selling normal equipment blueprints through the Alliance Shop’s reclaim feature?,400.0,Có thể kiếm được bao nhiêu tín dụng cá nhân từ việc bán bản thiết kế trang bị thông thường thông qua tính năng thu hồi của Cửa hàng Liên minh?,"400,0"
How many individual quests does an Expedition involve?,90.0,Một cuộc thám hiểm bao gồm bao nhiêu nhiệm vụ riêng lẻ?,"90,0"
"How many items of the same quality should I equip to complete “Ready For Battle""?",6.0,Tôi nên trang bị bao nhiêu vật phẩm có cùng chất lượng để hoàn thành “Sẵn sàng chiến đấu”?,6.0
How many Key Points are required to unlock the Treasure of Blue Crystal in Alliance Gifts?,3000000.0,Cần bao nhiêu Điểm chính để mở khóa Kho báu Pha lê xanh trong Quà tặng của Liên minh?,3000000.0
How many keys are included in the Alliance Gift received for the destruction of a Lvl 5 Barbarian Fort?,60.0,Có bao nhiêu chìa khóa trong Quà tặng Liên minh nhận được khi phá hủy Pháo đài man rợ cấp 5?,"60,0"
How many keys are included in the Wooden Chest Alliance Gift?,10.0,Có bao nhiêu chìa khóa được bao gồm trong Quà tặng Liên minh Rương Gỗ?,"10,0"
How many keys does a typical modern piano have?,88.0,Một cây đàn piano hiện đại điển hình có bao nhiêu phím?,"88,0"
"How many Legendary Commander Sculptures are awarded to the top finisher by total rankings in the “The Mightiest Governor"" event?",180.0,Có bao nhiêu Tác phẩm điêu khắc Chỉ huy Huyền thoại được trao cho người về đích cao nhất tính theo tổng thứ hạng trong sự kiện “Thống đốc hùng mạnh nhất”?,"180,0"
How many letters are used in today’s version of English?,26.0,Có bao nhiêu chữ cái được sử dụng trong phiên bản tiếng Anh ngày nay?,"26,0"
How many Medals of the Conqueror are needed to purchase a Legendary Commander Sculpture in the Medal Store in Expedition mode?,1500.0,Cần bao nhiêu Huy chương của Kẻ chinh phục để mua Tác phẩm điêu khắc Chỉ huy Huyền thoại trong Cửa hàng Huy chương ở chế độ Viễn chinh?,"1500,0"
"How many minutes’ worth total of speedups can be obtained from purchasing the “7-Day Speedup Supply"" in addition to the immediate 1,050 Gem reward?","3,150 minutes","Bạn có thể nhận được tổng số lượt tăng tốc trong bao nhiêu phút khi mua “Nguồn cung cấp tăng tốc trong 7 ngày"" cùng với phần thưởng 1.050 Đá quý ngay lập tức?",3.150 phút
How many Normal Iron Ore do you need to make an Advanced Iron Ore?,4.0,Bạn cần bao nhiêu quặng sắt thông thường để tạo ra quặng sắt nâng cao?,4.0
How many officers (excluding the alliance leader) can an alliance have?,8.0,Một liên minh có thể có bao nhiêu sĩ quan (không bao gồm người lãnh đạo liên minh)?,"8,0"
How many Olympic gold medals did African-American athlete Jesse Owens win in 1936?,4.0,Vận động viên người Mỹ gốc Phi Jesse Owens đã giành được bao nhiêu huy chương vàng Olympic vào năm 1936?,4.0
How many patrolling soldiers roam a governor’s walls?,7.0,Có bao nhiêu người lính tuần tra đi lang thang trên tường của thống đốc?,"7,0"
How many phases are there in The Mightiest Governor event?,5.0,Có bao nhiêu giai đoạn trong sự kiện Thống đốc hùng mạnh nhất?,5.0
How many players are there in the board game Go?,2.0,Có bao nhiêu người chơi trong trò chơi cờ vây?,2.0
"How many points are earned per 1 point of upgraded Power within the “Stage 4: Power Upgrade"" segment of “The Mightiest Governor"" event?",2.0,"Bạn kiếm được bao nhiêu điểm cho mỗi 1 điểm Sức mạnh được nâng cấp trong phân đoạn “Giai đoạn 4: Nâng cấp sức mạnh"" của sự kiện “Thống đốc hùng mạnh nhất”?",2.0
"How many points are gained per Lvl 3 unit severely wounded/killed in the “Stage 5: Enemy Elimination"" segment of the “Mightiest Governor"" event?",4.0,"Có bao nhiêu điểm nhận được cho mỗi đơn vị Cấp 3 bị thương nặng/tử vong trong phân đoạn “Giai đoạn 5: Loại bỏ kẻ thù"" của sự kiện “Thống đốc hùng mạnh nhất”?",4.0
How many polar bears feature on the Heart of the North Avatar Frame?,3.0,Có bao nhiêu chú gấu Bắc Cực xuất hiện trên Khung Avatar Trái Tim Phương Bắc?,3.0
How many refreshes are available per visit to the Mysterious Merchant?,5.0,Có bao nhiêu lần làm mới có sẵn cho mỗi lần ghé thăm Thương gia bí ẩn?,5.0
How many reward chests are awarded for reaching 60 daily activity points?,3.0,Có bao nhiêu rương phần thưởng được trao khi đạt 60 điểm hoạt động hàng ngày?,3.0
How many roses feature on the Rose Petals Avatar Frame?,4.0,Có bao nhiêu bông hồng xuất hiện trên Khung Avatar Cánh Hoa Hồng?,4.0
How many Scouts can the Scout Camp hold at once?,3.0,Trại Hướng đạo có thể chứa bao nhiêu Hướng đạo sinh cùng một lúc?,3.0
How many sections are featured in the Kingdom Newspaper outside of special calendar events?,5.0,Có bao nhiêu mục được đăng trên Báo Nước Trời ngoài những sự kiện đặc biệt theo lịch?,5.0
How many separate khanates or empires had the Mongol Empire fractured into by the time of Kublai’s death in 1294?,4.0,Đế chế Mông Cổ đã bị chia cắt thành bao nhiêu hãn quốc hoặc đế chế riêng biệt vào thời điểm Hốt Tất Liệt qua đời vào năm 1294?,4.0
How many small tents can you see in a Lvl 3 Barbarian Fort?,6.0,Bạn có thể nhìn thấy bao nhiêu lều nhỏ trong Pháo đài man rợ cấp 3?,6.0
How many stars are featured on the banner displayed behind the commander Minamoto no Yoshitsune?,3.0,Có bao nhiêu ngôi sao xuất hiện trên lá cờ phía sau chỉ huy Minamoto no Yoshitsune?,3.0
How many students sit in on the lectures held by the scholars of the Lyceum of Wisdom?,6.0,Có bao nhiêu sinh viên ngồi trong các bài giảng do các học giả của Lyceum of Wisdom tổ chức?,6.0
How many teams competed in the 2022 World Cup?,32.0,Có bao nhiêu đội thi đấu ở World Cup 2022?,"32,0"
How many teams took part in the first World Cup?,13.0,Có bao nhiêu đội tham dự World Cup đầu tiên?,13.0
"How many tents are shown on the icon for the Military Technology “Encampment""?",3.0,Có bao nhiêu chiếc lều được hiển thị trên biểu tượng của “Trại trại” Công nghệ Quân sự?,3.0
How many tiles does a City Hall occupy within your city?,9 x 9,Tòa thị chính chiếm bao nhiêu ô trong thành phố của bạn?,9 x 9
How many times can you receive alliance help if your Alliance Center is level 14?,18.0,Bạn có thể nhận được trợ giúp liên minh bao nhiêu lần nếu Trung tâm Liên minh của bạn ở cấp 14?,18.0
How many times can you receive alliance help if your alliance center is level 25?,30.0,Bạn có thể nhận được trợ giúp liên minh bao nhiêu lần nếu trung tâm liên minh của bạn ở cấp 25?,"30,0"
How many times has North Korea qualified for the World Cup?,Two times,Triều Tiên đã bao nhiêu lần vượt qua vòng loại World Cup?,Hai lần
"How many times is the character “1"" used when you write from number 1 to number 99?",20.0,Ký tự “1” được sử dụng bao nhiêu lần khi viết từ số 1 đến số 99?,"20,0"
How many troops are recommended for destroying a Lvl 3 Barbarian Fort?,"480,000 Lvl 3 units",Cần bao nhiêu quân để phá hủy Pháo đài man rợ cấp 3?,480.000 cấp 3 đơn vị
How many troops can governors send with a level 17 City Hall or above?,4.0,Thống đốc có thể cử bao nhiêu quân với Tòa thị chính cấp 17 trở lên?,4.0
How many VIP points can you buy with 200 gems?,200.0,Bạn có thể mua bao nhiêu điểm VIP với 200 viên đá quý?,"200,0"
How many Watchtowers are included in a Lvl 25 city?,8.0,Có bao nhiêu Tháp canh được bao gồm trong một thành phố cấp 25?,"8,0"
How many wheels are there on a battering ram?,6.0,Có bao nhiêu bánh xe trên một chiếc ram đập?,6.0
How many Women’s World Cups has Megan Rapinoe won?,2.0,Megan Rapinoe đã giành được bao nhiêu World Cup nữ?,2.0
How many World Cup titles has Italy won?,4.0,Ý đã giành được bao nhiêu danh hiệu World Cup?,4.0
How many World Cup titles has Pelé won?,3.0,Pelé đã giành được bao nhiêu danh hiệu World Cup?,3.0
How many years are there between each Winter Olympic Games?,4.0,Có bao nhiêu năm cách nhau giữa mỗi Thế vận hội Olympic mùa đông?,4.0
How much capacity does a Lvl 15 Hospital provide (excluding boosts)?,29000.0,Bệnh viện Cấp 15 cung cấp bao nhiêu công suất (không bao gồm tăng cường)?,29000.0
How much does the 12-Hour Enhanced Attack item increase your troops’ Attack by?,5%,Vật phẩm Tấn công nâng cao 12 giờ tăng sức tấn công của quân bạn lên bao nhiêu?,5%
How much experience does a commander earn from a Lvl 7 Tome of Knowledge?,50000.0,Người chỉ huy kiếm được bao nhiêu kinh nghiệm từ Sách Kiến thức Cấp 7?,"50000,0"
How much gold does a single issue of the Kingdom Newspaper cost?,1000.0,Một số báo Nước Trời trị giá bao nhiêu vàng?,"1000,0"
